2025-08-29 16:00:21 | T427IHMPARAM | ESTAGIO: 2
2025-08-29 16:00:25 | T415IHMPARAM | ESTAGIO: 0
2025-08-29 16:00:37 | T427IHMPARAM | ESTAGIO: 2
2025-08-29 16:00:42 | T415IHMPARAM | ESTAGIO: 0
2025-08-29 16:00:53 | T427IHMPARAM | ESTAGIO: 2
2025-08-29 16:00:59 | T415IHMPARAM | ESTAGIO: 0
2025-08-29 16:01:15 | T427IHMPARAM | ESTAGIO: 2
2025-08-29 16:01:17 | T415IHMPARAM | ESTAGIO: 0
2025-08-29 16:01:30 | T427IHMPARAM | ESTAGIO: 2
2025-08-29 16:01:34 | T415IHMPARAM | ESTAGIO: 0
2025-08-29 16:01:45 | T427IHMPARAM | ESTAGIO: 2
2025-08-29 16:01:49 | T415IHMPARAM | ESTAGIO: 0
2025-08-29 16:02:00 | T427IHMPARAM | ESTAGIO: 2
2025-08-29 16:02:06 | T415IHMPARAM | ESTAGIO: 0
2025-08-29 16:02:20 | T427IHMPARAM | ESTAGIO: 2
2025-08-29 16:02:25 | T415IHMPARAM | ESTAGIO: 0
2025-08-29 16:02:36 | T427IHMPARAM | ESTAGIO: 2
2025-08-29 16:02:42 | T415IHMPARAM | ESTAGIO: 0
2025-08-29 16:02:53 | T427IHMPARAM | ESTAGIO: 2
2025-08-29 16:03:00 | T415IHMPARAM | ESTAGIO: 0
2025-08-29 16:03:12 | T427IHMPARAM | ESTAGIO: 2
2025-08-29 16:03:17 | T415IHMPARAM | ESTAGIO: 0
2025-08-29 16:03:29 | T427IHMPARAM | ESTAGIO: 2
2025-08-29 16:03:33 | T415IHMPARAM | ESTAGIO: 0
2025-08-29 16:03:46 | T427IHMPARAM | ESTAGIO: 2
2025-08-29 16:03:48 | T415IHMPARAM | ESTAGIO: 0
